ticker,averagePrice,quantity
ALOKINDS,28.3,15000
BAJAJHFL,125.13,600
BDL,1525,6
BEL,279.92,500
BHEL,239.33,300
BOHRAIND,24.91,19500
COALINDIA,419.8,200
EASEMYTRIP,18.98,13000
ENGINERSIN,179.08,400
EXIDEIND,345,200
GANESHBE,173.5,100
GREENPOWER,21.84,11500
HAL,2906.25,60
HFCL,117.43,600
HSCL,338.35,200
SAMMAANCAP,157.5,400
IDBI,64.18,80
IDEA,12.68,9000
INDUSINDBK,693.3,20
INDUSTOWER,280,200
IREDA,184.41,800
IRFC,144.5,200
ITC,410,100
ITCHOTELS,553.91,10
JIOFIN,297.65,1350
JSWENERGY,403.72,15
MAHABANK,61.5,200
NHPC,91.08,700
OLAELEC,77.15,900
PNB,106.75,400
PRAJIND,532.86,50
RELIANCE,1149.71,275
RELINFRA,190,100
RPOWER,39.38,10000
RVNL,465.31,80
SANGHIIND,61.48,200
SJVN,112.3,800
SUZLON,45.43,10000
SYNCOMF,21.25,4000
TATAMOTORS,960,30
TATAPOWER,383.67,300
TECHERA-ST,176.22,4800
TITAGARH,1068.36,80
VENUSPIPES,1295.15,20
VPRPL,167.93,200
YESBANK,23.57,1250
ZENTEC,950.4,50
ZOMATO,167.4,100